pmid,doi,pmcid,title,authors_first,authors_last,journal,journal_iso,year,month,volume,issue,pages,citation_count,influential_citations,source_api,is_preprint,is_retracted,themes,theme_primary,relevance_score,priority_tier,notes
34074295,10.1186/s12943-021-01371-1,PMC8170728,Liquid biopsy for therapy monitoring in early-stage non-small cell lung cancer.,Nagasaka,Azmi,Molecular cancer,Mol Cancer,2021,6,20,1,82,0,0,pubmed,False,False,theme_12,theme_12,0.48000000000000004,B,
40799444,10.21037/tlcr-2025-244,PMC12337035,Single-cell and spatial transcriptomics profile the interaction of SPP1+ macrophages and FAP+ fibroblasts in non-small cell lung cancer.,Xiao,Wang,Translational lung cancer research,Transl Lung Cancer Res,2025,7,14,7,2646-2669,0,0,pubmed,False,False,theme_12,theme_12,0.48,B,
33953163,10.1038/s41467-021-22801-0,PMC8100173,Single-cell profiling of tumor heterogeneity and the microenvironment in advanced non-small cell lung cancer.,Wu,Zhou,Nature communications,Nat Commun,2021,5,12,1,2540,0,0,pubmed,False,False,theme_12,theme_12,0.47,B,
36368318,10.1016/j.ccell.2022.10.008,PMC9767679,High-resolution single-cell atlas reveals diversity and plasticity of tissue-resident neutrophils in non-small cell lung cancer.,Salcher,Trajanoski,Cancer cell,Cancer Cell,2022,12,40,12,1503-1520.e8,0,0,pubmed,False,False,theme_12,theme_12,0.47,B,
40954302,10.1038/s41592-025-02807-y,PMC12701766,The new microbiome on the block: challenges and opportunities of using human tumor sequencing data to study microbes.,Li,Ma,Nature methods,Nat Methods,2025,9,22,9,1788-1799,0,0,pubmed,False,False,theme_12,theme_12,0.47,B,
37816330,10.1016/j.ccell.2023.09.009,,Integrating minimal residual disease monitoring into clinical practice for NSCLC: Is the era upon us?,Li,Lu,Cancer cell,Cancer Cell,2023,10,41,10,1699-1701,0,0,pubmed,False,False,theme_12,theme_12,0.46,B,
39147831,10.1038/s41591-024-03195-0,PMC11405286,DNA liquid biopsy-based prediction of cancer-associated venous thromboembolism.,Jee,Mantha,Nature medicine,Nat Med,2024,9,30,9,2499-2507,0,0,pubmed,False,False,theme_12,theme_12,0.46,B,
40205583,10.1186/s12943-025-02287-w,PMC11980172,Single-cell and spatial transcriptomic analyses revealing tumor microenvironment remodeling after neoadjuvant chemoimmunotherapy in non-small cell lung cancer.,Cui,Sun,Molecular cancer,Mol Cancer,2025,4,24,1,111,0,0,pubmed,False,False,theme_12,theme_12,0.46,B,
40315434,10.1093/bib/bbaf160,PMC12047704,Deep scSTAR: leveraging deep learning for the extraction and enhancement of phenotype-associated features from single-cell RNA sequencing and spatial transcriptomics data.,Gao,Hao,Briefings in bioinformatics,Brief Bioinform,2025,5,26,3,,0,0,pubmed,False,False,theme_12,theme_12,0.46,B,
40442373,10.1038/s41592-025-02707-1,PMC12240810,A visual-omics foundation model to bridge histopathology with spatial transcriptomics.,Chen,Wang,Nature methods,Nat Methods,2025,7,22,7,1568-1582,0,0,pubmed,False,False,theme_12,theme_12,0.46,B,
40764306,10.1038/s41467-025-62593-1,PMC12325965,Thor: a platform for cell-level investigation of spatial transcriptomics and histology.,Zhang,Wang,Nature communications,Nat Commun,2025,8,16,1,7178,0,0,pubmed,False,False,theme_12,theme_12,0.46,B,
41073787,10.1038/s41588-025-02351-7,PMC12513832,Spatial signatures for predicting immunotherapy outcomes using multi-omics in non-small cell lung cancer.,Aung,Rimm,Nature genetics,Nat Genet,2025,10,57,10,2482-2493,0,0,pubmed,False,False,theme_12,theme_12,0.46,B,
41791380,10.1016/j.ccell.2026.02.008,PMC13007731,Vascular STING activation facilitates NK cell anti-tumor immunity in small cell lung cancer.,Campisi,Mahadevan,Cancer cell,Cancer Cell,2026,4,44,4,858-878.e16,0,0,pubmed,False,False,theme_12,theme_12,0.46,B,
33925308,10.3390/cancers13092101,PMC8123575,Emerging Lab-on-a-Chip Approaches for Liquid Biopsy in Lung Cancer: Status in CTCs and ctDNA Research and Clinical Validation.,Carvalho,Jerónimo,Cancers,Cancers (Basel),2021,4,13,9,,0,0,pubmed,False,False,theme_12,theme_12,0.45999999999999996,B,
36636413,10.21037/tlcr-22-390,PMC9830273,Role of ctDNA for the detection of minimal residual disease in resected non-small cell lung cancer: a systematic review.,Verzè,Tiseo,Translational lung cancer research,Transl Lung Cancer Res,2022,12,11,12,2588-2600,0,0,pubmed,False,False,theme_12,theme_12,0.45999999999999996,B,
40027142,10.1016/j.jlb.2024.100145,PMC11863883,Liquid biopsy for monitoring minimal residual disease in localized and locally-advanced non-small cell lung cancer after radical-intent treatment.,Aguilar,Gil-Bazo,The journal of liquid biopsy,J Liq Biopsy,2024,6,4,,100145,0,0,pubmed,False,False,theme_12,theme_12,0.45999999999999996,B,
29968853,10.1038/s41571-018-0058-3,,Early stage NSCLC - challenges to implementing ctDNA-based screening and MRD detection.,Abbosh,Swanton,Nature reviews. Clinical oncology,Nat Rev Clin Oncol,2018,9,15,9,577-586,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
35057806,10.1186/s12943-022-01505-z,PMC8772097,"Liquid biopsy in lung cancer: significance in diagnostics, prediction, and treatment monitoring.",Li,Fu,Molecular cancer,Mol Cancer,2022,1,21,1,25,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
36725934,10.1038/s41586-022-05672-3,PMC9931585,Single-cell spatial landscapes of the lung tumour immune microenvironment.,Sorin,Walsh,Nature,Nature,2023,2,614,7948,548-554,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
37683638,10.1016/j.ccell.2023.08.010,,Individualized tumor-informed circulating tumor DNA analysis for postoperative monitoring of non-small cell lung cancer.,Chen,Wang,Cancer cell,Cancer Cell,2023,10,41,10,1749-1762.e6,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
37738973,10.1016/j.ccell.2023.08.012,,The intratumor mycobiome promotes lung cancer progression via myeloid-derived suppressor cells.,Liu,Wang,Cancer cell,Cancer Cell,2023,11,41,11,1927-1944.e9,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
37816331,10.1016/j.ccell.2023.09.007,,Dynamic circulating tumor DNA during chemoradiotherapy predicts clinical outcomes for locally advanced non-small cell lung cancer patients.,Pan,Wu,Cancer cell,Cancer Cell,2023,10,41,10,1763-1773.e4,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
38242124,10.1016/j.ccell.2023.12.021,PMC10929690,Cancer-associated fibroblast phenotypes are associated with patient outcome in non-small cell lung cancer.,Cords,Bodenmiller,Cancer cell,Cancer Cell,2024,3,42,3,396-412.e5,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
38278149,10.1016/j.ccell.2024.01.001,PMC10982990,Tumor- and circulating-free DNA methylation identifies clinically relevant small cell lung cancer subtypes.,Heeke,Heymach,Cancer cell,Cancer Cell,2024,2,42,2,225-237.e5,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
38599211,10.1016/j.cell.2024.03.021,,A pan-cancer analysis of the microbiome in metastatic cancer.,Battaglia,Voest,Cell,Cell,2024,4,187,9,2324-2335.e19,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
39406187,10.1016/j.ccell.2024.09.011,,A pan-cancer single-cell RNA-seq atlas of intratumoral B cells.,Fitzsimons,Litchfield,Cancer cell,Cancer Cell,2024,10,42,10,1784-1797.e4,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
39423817,10.1016/j.ccell.2024.09.012,,Overcoming tyrosine kinase inhibitor resistance in lung cancer brain metastasis with CTLA4 blockade.,Fu,Mao,Cancer cell,Cancer Cell,2024,11,42,11,1882-1897.e7,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
39566495,10.1016/j.cell.2024.10.042,,Fibroblastic reticular cells generate protective intratumoral T cell environments in lung cancer.,Onder,Ludewig,Cell,Cell,2025,1,188,2,430-446.e20,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
39614124,10.1038/s41588-024-01989-z,PMC11735394,Characterizing the evolutionary dynamics of cancer proliferation in single-cell clones with SPRINTER.,Lucas,Zaccaria,Nature genetics,Nat Genet,2025,1,57,1,103-114,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
39658657,10.1038/s41588-024-01998-y,,Multi-omic profiling highlights factors associated with resistance to immuno-chemotherapy in non-small-cell lung cancer.,Yan,Zhang,Nature genetics,Nat Genet,2025,1,57,1,126-139,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
39746954,10.1038/s41467-024-55140-x,PMC11696112,Tumor cell-based liquid biopsy using high-throughput microfluidic enrichment of entire leukapheresis product.,Mishra,Toner,Nature communications,Nat Commun,2025,1,16,1,32,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
39806071,10.1038/s41591-024-03216-y,PMC11750713,Ultrasensitive ctDNA detection for preoperative disease stratification in early-stage lung adenocarcinoma.,Black,Swanton,Nature medicine,Nat Med,2025,1,31,1,70-76,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
39983726,10.1016/j.ccell.2025.01.012,,Integrative spatial analysis reveals tumor heterogeneity and immune colony niche related to clinical outcomes in small cell lung cancer.,Chen,Cao,Cancer cell,Cancer Cell,2025,3,43,3,519-536.e5,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
40481363,10.1038/s41592-025-02721-3,PMC12240806,CellNEST reveals cell-cell relay networks using attention mechanisms on spatial transcriptomics.,Zohora,Schwartz,Nature methods,Nat Methods,2025,7,22,7,1505-1519,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
40802513,10.1016/j.celrep.2025.116132,,Bifidobacterium animalis suppresses non-small cell lung cancer progression and modulates tumor immunity through indole-3-acetic acid.,Song,Chen,Cell reports,Cell Rep,2025,8,44,8,116132,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
